,Date,Users,year,month,day,day of week,weekend,season
420,2021-02-24,48,2021,2,24,2,0,winter
421,2021-02-25,25,2021,2,25,3,0,winter
422,2021-02-26,39,2021,2,26,4,0,winter
423,2021-02-27,14,2021,2,27,5,1,winter
424,2021-02-28,20,2021,2,28,6,1,winter
425,2021-03-01,48,2021,3,1,0,0,winter
426,2021-03-02,35,2021,3,2,1,0,winter
427,2021-03-03,48,2021,3,3,2,0,winter
428,2021-03-04,37,2021,3,4,3,0,winter
429,2021-03-05,35,2021,3,5,4,0,winter
430,2021-03-06,34,2021,3,6,5,1,winter
431,2021-03-07,47,2021,3,7,6,1,winter
432,2021-03-08,44,2021,3,8,0,0,winter
433,2021-03-09,40,2021,3,9,1,0,winter
434,2021-03-10,48,2021,3,10,2,0,winter
435,2021-03-11,43,2021,3,11,3,0,winter
436,2021-03-12,66,2021,3,12,4,0,winter
437,2021-03-13,55,2021,3,13,5,1,winter
438,2021-03-14,63,2021,3,14,6,1,winter
439,2021-03-15,94,2021,3,15,0,0,winter
440,2021-03-16,103,2021,3,16,1,0,winter
441,2021-03-17,101,2021,3,17,2,0,winter
442,2021-03-18,67,2021,3,18,3,0,winter
443,2021-03-19,104,2021,3,19,4,0,winter
444,2021-03-20,49,2021,3,20,5,1,winter
445,2021-03-21,102,2021,3,21,6,1,spring
446,2021-03-22,115,2021,3,22,0,0,spring
447,2021-03-23,102,2021,3,23,1,0,spring
448,2021-03-24,136,2021,3,24,2,0,spring
449,2021-03-25,121,2021,3,25,3,0,spring
450,2021-03-26,92,2021,3,26,4,0,spring
451,2021-03-27,57,2021,3,27,5,1,spring
452,2021-03-28,61,2021,3,28,6,1,spring
453,2021-03-29,56,2021,3,29,0,0,spring
454,2021-03-30,66,2021,3,30,1,0,spring
455,2021-03-31,29,2021,3,31,2,0,spring
456,2021-04-01,32,2021,4,1,3,0,spring
457,2021-04-02,28,2021,4,2,4,0,spring
458,2021-04-03,43,2021,4,3,5,1,spring
459,2021-04-04,44,2021,4,4,6,1,spring
460,2021-04-05,57,2021,4,5,0,0,spring
461,2021-04-06,86,2021,4,6,1,0,spring
462,2021-04-07,81,2021,4,7,2,0,spring
463,2021-04-08,98,2021,4,8,3,0,spring
464,2021-04-09,84,2021,4,9,4,0,spring
465,2021-04-10,57,2021,4,10,5,1,spring
466,2021-04-11,82,2021,4,11,6,1,spring
467,2021-04-12,61,2021,4,12,0,0,spring
468,2021-04-13,58,2021,4,13,1,0,spring
469,2021-04-14,45,2021,4,14,2,0,spring
470,2021-04-15,62,2021,4,15,3,0,spring
471,2021-04-16,58,2021,4,16,4,0,spring
472,2021-04-17,31,2021,4,17,5,1,spring
473,2021-04-18,44,2021,4,18,6,1,spring
474,2021-04-19,52,2021,4,19,0,0,spring
475,2021-04-20,69,2021,4,20,1,0,spring
476,2021-04-21,61,2021,4,21,2,0,spring
477,2021-04-22,53,2021,4,22,3,0,spring
478,2021-04-23,51,2021,4,23,4,0,spring
479,2021-04-24,40,2021,4,24,5,1,spring
480,2021-04-25,45,2021,4,25,6,1,spring
481,2021-04-26,55,2021,4,26,0,0,spring
482,2021-04-27,50,2021,4,27,1,0,spring
483,2021-04-28,55,2021,4,28,2,0,spring
484,2021-04-29,40,2021,4,29,3,0,spring
485,2021-04-30,33,2021,4,30,4,0,spring
486,2021-05-01,34,2021,5,1,5,1,spring
487,2021-05-02,34,2021,5,2,6,1,spring
488,2021-05-03,50,2021,5,3,0,0,spring
489,2021-05-04,58,2021,5,4,1,0,spring
490,2021-05-05,79,2021,5,5,2,0,spring
491,2021-05-06,69,2021,5,6,3,0,spring
492,2021-05-07,38,2021,5,7,4,0,spring
493,2021-05-08,23,2021,5,8,5,1,spring
494,2021-05-09,40,2021,5,9,6,1,spring
495,2021-05-10,75,2021,5,10,0,0,spring
496,2021-05-11,79,2021,5,11,1,0,spring
497,2021-05-12,85,2021,5,12,2,0,spring
498,2021-05-13,69,2021,5,13,3,0,spring
499,2021-05-14,54,2021,5,14,4,0,spring
500,2021-05-15,58,2021,5,15,5,1,spring
501,2021-05-16,36,2021,5,16,6,1,spring
502,2021-05-17,42,2021,5,17,0,0,spring
503,2021-05-18,62,2021,5,18,1,0,spring
504,2021-05-19,61,2021,5,19,2,0,spring
505,2021-05-20,51,2021,5,20,3,0,spring
506,2021-05-21,48,2021,5,21,4,0,spring
507,2021-05-22,42,2021,5,22,5,1,spring
508,2021-05-23,54,2021,5,23,6,1,spring
509,2021-05-24,85,2021,5,24,0,0,spring
510,2021-05-25,86,2021,5,25,1,0,spring
511,2021-05-26,60,2021,5,26,2,0,spring
512,2021-05-27,51,2021,5,27,3,0,spring
513,2021-05-28,50,2021,5,28,4,0,spring
514,2021-05-29,27,2021,5,29,5,1,spring
515,2021-05-30,25,2021,5,30,6,1,spring
516,2021-05-31,35,2021,5,31,0,0,spring
517,2021-06-01,48,2021,6,1,1,0,spring
518,2021-06-02,57,2021,6,2,2,0,spring
519,2021-06-03,27,2021,6,3,3,0,spring
520,2021-06-04,25,2021,6,4,4,0,spring
521,2021-06-05,19,2021,6,5,5,1,spring
522,2021-06-06,28,2021,6,6,6,1,spring
523,2021-06-07,35,2021,6,7,0,0,spring
524,2021-06-08,36,2021,6,8,1,0,spring
525,2021-06-09,25,2021,6,9,2,0,spring
526,2021-06-10,39,2021,6,10,3,0,spring
527,2021-06-11,22,2021,6,11,4,0,spring
528,2021-06-12,16,2021,6,12,5,1,spring
529,2021-06-13,19,2021,6,13,6,1,spring
530,2021-06-14,23,2021,6,14,0,0,spring
531,2021-06-15,22,2021,6,15,1,0,spring
532,2021-06-16,38,2021,6,16,2,0,spring
533,2021-06-17,25,2021,6,17,3,0,spring
534,2021-06-18,18,2021,6,18,4,0,spring
535,2021-06-19,21,2021,6,19,5,1,spring
536,2021-06-20,26,2021,6,20,6,1,spring
537,2021-06-21,22,2021,6,21,0,0,summer
538,2021-06-22,16,2021,6,22,1,0,summer
539,2021-06-23,25,2021,6,23,2,0,summer
540,2021-06-24,29,2021,6,24,3,0,summer
541,2021-06-25,29,2021,6,25,4,0,summer
542,2021-06-26,12,2021,6,26,5,1,summer
543,2021-06-27,10,2021,6,27,6,1,summer
544,2021-06-28,29,2021,6,28,0,0,summer
545,2021-06-29,22,2021,6,29,1,0,summer
546,2021-06-30,32,2021,6,30,2,0,summer
547,2021-07-01,27,2021,7,1,3,0,summer
548,2021-07-02,17,2021,7,2,4,0,summer
549,2021-07-03,25,2021,7,3,5,1,summer
550,2021-07-04,13,2021,7,4,6,1,summer
551,2021-07-05,36,2021,7,5,0,0,summer
